"leases","price","likes","year_release","period"
9,2.99,1,2010,364
3,2.99,1,2010,371
9,2.99,3,2010,378
7,2.99,2,2010,384
14,3.99,1,2012,364
13,3.99,5,2012,371
9,3.99,5,2012,378
5,3.99,3,2012,384
116,1.49,25,2006,280
69,1.49,20,2006,287
51,1.49,15,2006,294
60,1.49,20,2006,301
53,1.49,16,2006,308
11,1.49,1,2006,315
2,1.49,1,2006,322
1,1.49,0,2006,329
4,1.49,0,2005,308
9,1.49,0,2005,315
3,1.49,0,2005,322
2,1.49,0,2005,329
40,3.49,11,2011,224
76,3.49,29,2011,231
52,3.49,23,2011,238
71,3.49,26,2011,245
84,3.49,32,2011,252
99,3.49,37,2011,259
103,3.49,35,2011,266
163,3.49,66,2011,273
127,3.49,48,2011,280
113,3.49,33,2011,287
76,3.49,30,2011,294
79,3.49,28,2011,301
17,1.99,4,2008,224
17,1.99,2,2008,231
7,1.99,2,2008,238
95,1.99,29,2008,245
100,1.99,21,2008,252
74,1.99,20,2008,259
81,1.99,20,2008,266
102,1.99,25,2008,273
1,1.49,0,2006,252
0,1.49,0,2006,259
0,1.49,0,2006,266
0,1.49,0,2006,273
120,3.99,34,2012,224
18,3.99,3,2012,231
66,3.99,18,2012,238
93,3.99,12,2012,245
94,3.99,16,2012,252
89,3.99,14,2012,259
98,3.99,19,2012,266
95,3.99,17,2012,273
4,3.99,1,2011,336
63,3.99,16,2011,343
58,3.99,11,2011,350
64,3.99,32,2011,357
25,1.99,2,2007,224
21,1.99,1,2007,231
29,1.99,2,2007,238
21,1.99,2,2007,245
38,1.99,8,1999,280
14,1.99,3,1999,287
6,1.99,2,1999,294
7,1.99,1,1999,301
1,1.49,0,2007,280
3,1.49,1,2007,287
3,1.49,0,2007,294
2,1.49,1,2007,301
16,2.99,5,2009,252
20,2.99,4,2009,259
24,2.99,7,2009,266
21,2.99,6,2009,273
3,2.99,0,2009,308
61,2.99,15,2009,315
40,2.99,13,2009,322
28,2.99,4,2009,329
39,2.99,13,2009,336
